CODIGO              FECHA          DNI       CANTIDAD SOLICITADA
ICX-503           20230825       87800799        2
YGV-332           20230825       71378466        1
KWP-672           20230825       87800799        2
AHB-459           20230825       88995291        2
GBD-525           20230825       52097922        5
CNQ-172           20230825       35565959        4
QUU-384           20230825       67418025        1
MMA-577           20230825       95751208        3
JXD-139           20230825       26976877        2
LDR-510           20230825       77642521        5
TYF-885           20230825       79140840        2
XLF-273           20230825       57263719        5
YJD-279           20230825       62324793        5
ZWF-661           20230825       93845419        5
ICX-503           20230825       87800799        2
AQS-362           20230825       19829266        2
TZY-323           20230825       57263719        6
KBY-991           20230825       93160528        2
OQI-373           20230825       79901434        3
HLR-109           20230825       50375303        2
CIM-038           20230825       32821689        5
BWD-036           20230825       42798099        6
TZY-323           20230825       11602775        4
YOT-530           20230825       49087435        1
AWB-345           20230825       73786035        1
UXG-019           20230825       45783712        5
DUG-251           20230825       16151792        1
SJQ-827           20230825       62566305        4
RDT-761           20230825       13245501        1
AFL-718           20230825       40348917        4
SNY-500           20230825       73535476        2
DIQ-718           20230825       83236386        2
SNY-500           20230825       58187172        6
MTF-868           20230825       77484838        3
XZG-521           20230826       26976877        3
TXM-139           20230826       54761731        3
YGV-332           20230826       27912250        1
ARS-231           20230826       42157219        6
BWD-036           20230826       24995742        1
BIT-434           20230826       54761731        1
FLJ-040           20230826       38637282        6
OQI-373           20230826       29337157        4
AFL-718           20230826       78922174        5
MQR-442           20230826       90365520        6
JJN-837           20230826       11602775        1
AFL-718           20230826       73535476        4
MQR-442           20230826       86828079        3
RDT-761           20230826       13245501        6
XLF-273           20230826       57690875        4
CIM-038           20230826       77191257        3
BWD-036           20230826       79475585        5
VVS-017           20230826       49087435        3
ZVA-180           20230826       54761731        4
UWA-476           20230826       27912250        3
GXF-122           20230826       78757121        1
DEV-433           20230826       42157219        6
KWP-672           20230826       71378466        4
VZV-827           20230826       32904023        1
WZD-331           20230826       83505958        1
EUZ-452           20230826       99842319        1
KJX-387           20230826       59407188        5
HFC-845           20230826       57263719        5
TZY-323           20230826       95161027        5
BCK-361           20230826       45828535        6
FLJ-040           20230826       78757121        4
III-576           20230826       81114108        1
KQQ-136           20230826       77484838        1
ZAF-449           20230826       31611146        1
ZWF-661           20230826       17972674        4
QJO-060           20230826       40348917        3
VCL-867           20230826       94080926        2
XSD-310           20230826       83236386        2
VRR-793           20230826       86402303        3
OPT-996           20230826       79901434        2
AQS-362           20230827       91897732        2
KJX-387           20230827       45877001        5
XSD-310           20230827       78078115        2
OXP-732           20230827       86828079        1
BRD-969           20230827       73185299        3
KQA-580           20230827       96659352        6
JFC-432           20230827       43053402        2
SSD-176           20230827       55552996        6
XLF-273           20230827       26976877        3
CNN-411           20230827       40112594        6
UXG-019           20230827       79140840        1
EUZ-452           20230827       41036366        2
III-576           20230827       66409237        4
OQI-373           20230827       90237332        1
SSE-115           20230827       78922174        3
DFF-034           20230827       79140840        3
JCW-489           20230827       43877279        4
YYK-309           20230827       11602775        3
YUQ-590           20230827       54716824        6
OFS-384           20230827       38637282        1
YZD-580           20230827       87813843        4
FYF-898           20230827       15561764        2
JFC-432           20230827       73914283        1
GBJ-693           20230827       12663268        6
XOA-735           20230827       17913944        4
QUU-384           20230827       26233063        4
YOT-530           20230827       38913831        3
KQQ-136           20230827       32565207        4
HLR-109           20230827       57263719        2
CRU-009           20230827       89863424        4
OQI-373           20230827       67418025        5
SNY-500           20230827       26976877        4
CRU-009           20230827       57690875        6
MLE-193           20230827       84165595        3
OBI-353           20230827       63437380        2
XLF-273           20230827       22777006        2
FLW-631           20230827       52097922        5
OTH-462           20230827       13245501        5
EVN-510           20230827       22777006        3
XTE-383           20230827       95751208        4
PJG-338           20230827       63437380        5
ISU-815           20230827       37110873        5
YYK-309           20230827       25171011        1
YEZ-591           20230827       60574154        6
CIM-038           20230827       78757121        4
OPJ-039           20230828       45828535        6
KSO-608           20230828       57263719        3
OXP-732           20230828       23928045        3
KQQ-136           20230828       73786035        4
CJE-310           20230828       79464412        5
BCK-361           20230828       35584593        4
NMV-644           20230828       94080926        5
DFJ-952           20230828       85871751        2
CIM-038           20230828       57690875        3
BIT-434           20230828       43043986        5
AWB-345           20230828       44679500        1
KDA-627           20230828       32565207        5
HFM-021           20230828       69975105        6
UWA-476           20230828       89298238        2
FVQ-662           20230828       43053402        6
KJX-387           20230828       71463316        4
XLF-273           20230828       89148118        5
OTH-462           20230828       95161027        1
TKM-141           20230828       78922174        5
SJQ-827           20230828       43877279        5
BCK-361           20230828       40112594        2
KCO-488           20230828       66409237        4
QVJ-982           20230828       79372768        6
BWD-036           20230828       24995742        3
DEN-125           20230828       80048864        3
AVM-258           20230828       71463316        3
MYC-756           20230828       59407188        6
QFP-254           20230828       71378466        6
FVQ-662           20230828       77484838        1
QFP-254           20230828       17972674        1
BCN-855           20230828       89863424        6
OQI-373           20230828       26976877        4
QUU-384           20230828       42157219        2
UXG-019           20230828       42157219        5
YMU-875           20230828       35565959        2
UWA-476           20230828       42928709        5
ARS-231           20230828       32904023        3
ZWF-661           20230828       26233063        3
SSE-115           20230828       79475585        6
OTS-581           20230828       80048864        1
NSM-283           20230828       76388967        5
KSO-608           20230828       86241107        2
PPX-620           20230828       60574154        5
CIM-038           20230828       62324793        2
QUU-384           20230829       16552775        5
TYF-885           20230829       69639726        1
AFL-718           20230829       16151792        1
EBI-299           20230829       44229880        3
EBI-299           20230829       53166028        3
KCO-488           20230829       71463316        5
BCK-361           20230829       87800799        2
BXY-119           20230829       31193794        5
DFJ-952           20230829       98140264        2
VRR-793           20230829       43053402        2
FQG-293           20230829       20864087        5
BTO-226           20230829       87800799        3
FEG-454           20230829       45828535        5
QHC-492           20230829       53166028        1
NSM-283           20230829       55552996        1
FQG-293           20230829       95161027        4
DON-719           20230829       25171011        3
SNY-500           20230829       71463316        6
ONB-903           20230829       45877001        2
WZD-331           20230829       77642521        5
DFF-034           20230829       88956889        6
YUQ-590           20230829       86241107        2
YMU-875           20230829       81114108        2
SJD-818           20230829       52097922        2
VCL-867           20230829       77484838        3
PJG-338           20230829       62324793        1
HFM-021           20230829       71378466        3
RBE-789           20230829       29847168        1
UDR-957           20230829       46462527        3
XSD-310           20230829       79464412        2
KWP-672           20230829       76388967        5
YUQ-590           20230830       83505958        5
RBE-789           20230830       42928709        4
DON-719           20230830       15210391        2
GBD-525           20230830       69975105        6
VCL-867           20230830       89429489        6
EBI-299           20230830       32821689        3
GXF-122           20230830       62566305        5
QHC-492           20230830       62324793        5
JXD-139           20230830       35565959        5
GKG-558           20230830       32565207        4
QRC-609           20230830       89863424        3
TXM-139           20230830       97403853        4
KQQ-136           20230830       96659352        3
KQQ-136           20230830       79140840        1
TKM-141           20230830       23928045        5
QIL-029           20230830       48184351        2
WZD-331           20230830       45877001        6
ONB-903           20230830       73185299        3
XBD-314           20230830       26290971        3
TKM-141           20230830       85949265        5
GBJ-693           20230830       97403853        6
OTH-462           20230830       86402303        6
KQA-580           20230830       96258632        2
AVM-258           20230830       63437380        4
VRR-793           20230830       87800799        6
AQS-362           20230830       15210391        2
AWB-345           20230830       19829266        3
AQS-362           20230830       50365593        5
OWN-701           20230831       90237332        3
LDR-510           20230831       42798099        6
QHC-492           20230831       81114108        5
QFP-254           20230831       90365520        6
SSD-176           20230831       35584593        4
VDD-853           20230831       97403853        3
LWG-915           20230831       46462527        6
QUU-384           20230831       93845419        6
OTH-462           20230831       73185299        3
FEG-454           20230831       87800799        2
OFS-384           20230831       64394265        5
ZEX-027           20230831       45828535        4
TMJ-043           20230831       69975105        6
JDQ-505           20230831       86402303        6
OQI-373           20230831       87813843        1
CNN-411           20230831       54716824        1
KBY-991           20230831       37110873        4
YJD-279           20230831       25171011        6
QIL-029           20230831       67418025        2
VRR-793           20230831       22777006        1
XSD-310           20230831       48467976        5
HFM-021           20230831       71463316        4
UDR-957           20230831       37110873        4
AWB-345           20230831       89148118        6
FCN-617           20230831       45783712        2
AWT-354           20230831       13245501        2
EBI-299           20230831       54716824        6
QIL-029           20230831       62324793        1
DFF-034           20230901       84165595        6
LWG-915           20230901       86241107        2
SSE-115           20230901       79420973        5
GLC-370           20230901       13245501        3
HFM-021           20230901       73185299        3
QVJ-982           20230901       43043986        5
UCX-285           20230901       22280452        3
TZY-323           20230901       77191257        6
XBD-314           20230901       78922174        3
JXD-139           20230901       49087435        2
TMN-884           20230901       42798099        5
DUG-251           20230901       17913944        1
FQG-293           20230901       78078115        4
XZR-640           20230901       96659352        4
YYU-726           20230901       93160528        1
IDO-503           20230901       77191257        5
FVQ-662           20230901       31611146        4
BZS-261           20230901       89298238        4
UXG-019           20230901       28390487        2
VXS-438           20230901       89148118        1
SSD-176           20230901       71984468        1
ZEX-027           20230901       40348917        1
III-576           20230901       32904023        4
DEN-125           20230901       19829266        3
ADX-669           20230901       16151792        6
QVJ-982           20230901       87813843        3
UJV-290           20230901       41036366        4
AFL-718           20230901       43488351        6
BMJ-772           20230901       91897732        5
RDT-761           20230901       83236386        5
XSD-310           20230901       79140840        4
DIQ-718           20230901       84165595        1
UJV-290           20230901       35565959        1
DFJ-952           20230901       50365593        3
KBY-991           20230902       88956889        6
QFR-958           20230902       79372768        4
GXF-122           20230902       89863424        1
OQI-373           20230902       15210391        4
VXS-438           20230902       32821689        5
CJE-310           20230902       98140264        3
UWA-476           20230902       13245501        5
TXM-139           20230902       94080926        5
QIL-029           20230902       59407188        3
TZY-323           20230902       15210391        3
MMA-577           20230902       84165595        6
JDQ-505           20230902       20864087        6
OBI-353           20230902       89429489        3
MYC-756           20230902       88956889        4
III-576           20230902       41036366        4
DON-719           20230902       24995742        3
DFF-034           20230902       69324480        1
SSD-176           20230902       37110873        1
EJW-346           20230902       50375303        1
QFP-254           20230902       32904023        4
BRD-969           20230902       55552996        1
TKM-141           20230902       90237332        3
JFC-432           20230902       90365520        5
VJI-529           20230902       33397650        6
YOT-530           20230902       50365593        6
AQS-362           20230902       79420973        3
GLC-370           20230902       50365593        6
MTF-868           20230902       33713901        2
BXY-119           20230902       79372768        5
LYZ-614           20230902       43053402        6
RDT-761           20230902       66409237        6
BXY-119           20230902       95161027        5
SJD-818           20230902       53166028        3
DIQ-718           20230902       78922174        6
AFL-718           20230902       78078115        5
QTK-083           20230902       20864087        1
VDD-853           20230902       45783712        6
TMN-884           20230902       77191257        2
JDC-028           20230902       29337157        4
EUZ-452           20230902       79901434        6
AWT-354           20230902       57263719        4
TXM-139           20230902       98140264        1
DFJ-952           20230902       40348917        2
SSD-176           20230902       86828079        5
HFM-021           20230902       79140840        5
DOV-560           20230902       89298238        4
DFJ-952           20230902       20864087        4
QRC-609           20230902       66409237        4
BXY-119           20230902       42928709        5
KWP-672           20230903       71378466        2
OWN-701           20230903       99842319        2
PVZ-181           20230903       26290971        3
OQI-373           20230903       79901434        5
FVQ-662           20230903       40112594        4
UTN-601           20230903       16552775        6
TMN-884           20230903       23928045        2
UOD-420           20230903       69324480        3
VVS-017           20230903       33713901        1
YYU-726           20230903       43043986        1
AQS-362           20230903       16151792        1
VTV-269           20230903       73535476        5
AVM-258           20230903       62566305        1
FCN-617           20230903       57263719        5
XSD-310           20230903       52097922        6
RBE-789           20230903       96258632        2
UXG-019           20230903       89429489        1
DUG-251           20230903       50375303        5
CSZ-863           20230903       52097922        2
AWB-345           20230903       73535476        4
JFC-432           20230903       12663268        4
ZEX-027           20230903       96659352        3
UWA-476           20230903       37110873        6
OTH-462           20230903       52097922        4
CRU-009           20230903       42798099        2
CRU-009           20230903       54761731        5
FLJ-040           20230903       26976877        4
GBJ-693           20230903       79901434        2
XZG-521           20230903       95751208        4
OTS-581           20230903       15561764        2
ZEX-027           20230903       32904023        6
GBJ-693           20230903       59407188        1
FVQ-662           20230904       85949265        4
UOD-420           20230904       38913831        3
III-576           20230904       45783712        4
VXS-438           20230904       50375303        4
IHG-413           20230904       88995291        3
UWA-476           20230904       26233063        1
JCW-489           20230904       44229880        4
HLR-109           20230904       36380447        2
TMN-884           20230904       12663268        3
PFD-286           20230904       91897732        2
YUQ-590           20230904       31611146        4
XLF-273           20230904       42928709        4
ZWF-661           20230904       50375303        5
FQG-293           20230904       69975105        5
UWA-476           20230904       50375303        5
PFD-286           20230904       76388967        6
BCN-855           20230904       48184351        1
YMU-875           20230904       33397650        3
MTF-868           20230904       25171011        4
JXD-139           20230904       91897732        2
RAH-420           20230904       66409237        3
YOT-530           20230904       77191257        4
KQA-580           20230904       32565207        6
YJD-279           20230904       63437380        5
TXM-139           20230904       42928709        5
DFJ-952           20230904       88956889        2
BRD-969           20230904       94080926        5
IDO-503           20230904       69324480        5
QFP-254           20230904       35565959        5
SPR-580           20230904       88956889        3
QRC-609           20230904       27912250        3
FVB-607           20230905       42798099        1
TYF-885           20230905       13245501        5
SPR-580           20230905       13245501        5
BMJ-772           20230905       12663268        1
CIM-038           20230905       67418025        6
VJI-529           20230905       69324480        1
RDT-761           20230905       16151792        3
UXG-019           20230905       55552996        6
ICX-503           20230905       60574154        2
XSD-310           20230905       22280452        2
VRR-793           20230905       63437380        2
CNQ-172           20230905       62566305        3
KJX-387           20230905       46462527        4
XOA-735           20230905       93845419        5
YYU-726           20230905       89298238        3
TZY-323           20230905       89298238        3
BWD-036           20230905       73914283        3
KQA-580           20230905       54716824        3
KCO-488           20230905       64394265        1
JXD-139           20230905       98589725        1
BRD-969           20230905       76388967        2
YUQ-590           20230905       80048864        5
DOV-560           20230905       43877279        5
